2022-02-16 10:02:25 DEBUG logging:112 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2022-02-16 10:02:25 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-02-16 10:02:25 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2022-02-16 10:02:25 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-02-16 10:02:26 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2022-02-16 10:02:26 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2022-02-16 10:02:26 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2022-02-16 10:02:26 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2022-02-16 10:02:26 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2022-02-16 10:02:26 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2022-02-16 10:02:26 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2022-02-16 10:02:27 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2022-02-16 10:02:27 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@247d8ae
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@247d8ae
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@247d8ae
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@193f604a
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6bedbc4d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@2fd1433e
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@69997e9d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@69997e9d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@69997e9d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@33990a0c
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@33990a0c
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@33990a0c
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@3059cbc
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@3059cbc
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3059cbc
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@ea6147e
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@ea6147e
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@ea6147e
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@7a419da4
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@7a419da4
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7a419da4
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@3d5c822d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@3d5c822d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3d5c822d
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@4d5b6aac
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@4d5b6aac
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4d5b6aac
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@483f6d77
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@483f6d77
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@32b260fa
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@32b260fa
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@78123e82
2022-02-16 10:02:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@78123e82
